"Udic"|"22426519"|"9149580"
"Aquic"|"22426520"|"9149581"
"Aquic"|"22426521"|"9149582"
"Aquic"|"22426481"|"9149545"
"Udic"|"22426482"|"9149546"
"Udic"|"22426483"|"9149547"
"Aquic"|"22426484"|"9149548"
"Aquic"|"22426466"|"9149530"
"Udic"|"22426467"|"9149531"
"Aquic"|"22426468"|"9149532"
"Udic"|"22426503"|"9149566"
"Aquic"|"22426504"|"9149567"
"Aquic"|"22426505"|"9149568"
"Aquic"|"22426469"|"9149533"
"Udic"|"22426470"|"9149534"
"Udic"|"22426506"|"9149569"
"Aquic"|"22426507"|"9149570"
"Aquic"|"22426508"|"9149571"
"Udic"|"22426530"|"9149591"
"Aquic"|"22426531"|"9149592"
"Udic"|"22426532"|"9149593"
"Peraquic"|"22426533"|"9149594"
"Peraquic"|"22426534"|"9149595"
"Udic"|"22426535"|"9149596"
"Aquic"|"22426536"|"9149597"
"Aquic"|"22426537"|"9149598"
"Aquic"|"22426538"|"9149599"
"Udic"|"22426539"|"9149600"
"Aquic"|"22426509"|"9149572"
"Aquic"|"22426510"|"9149573"
"Udic"|"22426511"|"9149574"
"Udic"|"22426516"|"9149578"
"Aquic"|"22426517"|"9149579"
"Udic"|"22426512"|"9149575"
"Aquic"|"22426513"|"9149576"
"Aquic"|"22426514"|"9149577"
"Aquic"|"22426471"|"9149535"
"Aquic"|"22426472"|"9149536"
"Udic"|"22426473"|"9149537"
"Aquic"|"22426485"|"9149549"
"Udic"|"22426486"|"9149550"
"Aquic"|"22426487"|"9149551"
"Udic"|"22426488"|"9149552"
"Aquic"|"22426489"|"9149553"
"Aquic"|"22426490"|"9149554"
"Peraquic"|"22426522"|"9149583"
"Peraquic"|"22426523"|"9149584"
"Aquic"|"22426491"|"9149555"
"Udic"|"22426492"|"9149556"
"Udic"|"22426493"|"9149557"
"Aquic"|"22426494"|"9149558"
"Udic"|"22426495"|"9149559"
"Udic"|"22426496"|"9149560"
"Udic"|"22426474"|"9149538"
"Aquic"|"22426475"|"9149539"
"Aquic"|"22426524"|"9149585"
"Aquic"|"22426525"|"9149586"
"Udic"|"22426526"|"9149587"
"Aquic"|"22426527"|"9149588"
"Aquic"|"22426528"|"9149589"
"Aquic"|"22426529"|"9149590"
"Udic"|"22426498"|"9149561"
"Aquic"|"22426499"|"9149562"
"Udic"|"22426463"|"9149527"
"Aquic"|"22426464"|"9149528"
"Udic"|"22426500"|"9149563"
"Aquic"|"22426501"|"9149564"
"Aquic"|"22426502"|"9149565"
"Aquic"|"22426465"|"9149529"
"Aquic"|"22426476"|"9149540"
"Aquic"|"22426477"|"9149541"
"Udic"|"22426478"|"9149542"
"Aquic"|"22426479"|"9149543"
"Aquic"|"22426480"|"9149544"
