"Udic"|"22224702"|"9032157"
"Aquic"|"22224703"|"9032158"
"Udic"|"22224752"|"9032193"
"Aquic"|"22224754"|"9032194"
"Aquic"|"22224755"|"9032195"
"Aquic"|"22224709"|"9032163"
"Peraquic"|"22224710"|"9032164"
"Udic"|"22224711"|"9032165"
"Peraquic"|"22224756"|"9032196"
"Aquic"|"22224757"|"9032197"
"Aquic"|"22224758"|"9032198"
"Peraquic"|"22224759"|"9032199"
"Peraquic"|"22224760"|"9032200"
"Peraquic"|"22224773"|"9032208"
"Aquic"|"22224774"|"9032209"
"Aquic"|"22224775"|"9032210"
"Peraquic"|"22224776"|"9032211"
"Udic"|"22224778"|"9032212"
"Udic"|"22224779"|"9032213"
"Udic"|"22224780"|"9032214"
"Udic"|"22224761"|"9032201"
"Udic"|"22224762"|"9032202"
"Udic"|"22224713"|"9032166"
"Aquic"|"22224714"|"9032167"
"Aquic"|"22224763"|"9032203"
"Aquic"|"22224764"|"9032204"
"Udic"|"22224715"|"9032168"
"Aquic"|"22224716"|"9032169"
"Aquic"|"22224745"|"9032188"
"Aquic"|"22224746"|"9032189"
"Udic"|"22224748"|"9032190"
"Aquic"|"22224734"|"9032181"
"Udic"|"22224735"|"9032182"
"Aquic"|"22224738"|"9032183"
"Udic"|"22224739"|"9032184"
"Aquic"|"22224740"|"9032185"
"Udic"|"22224742"|"9032186"
"Udic"|"22224744"|"9032187"
"Udic"|"22224718"|"9032170"
"Aquic"|"22224767"|"9032205"
"Aquic"|"22224768"|"9032206"
"Udic"|"22224719"|"9032171"
"Aquic"|"22224771"|"9032207"
"Aquic"|"22224720"|"9032172"
"Aquic"|"22224721"|"9032173"
"Udic"|"22224781"|"9032215"
"Aquic"|"22224783"|"9032216"
"Peraquic"|"22224704"|"9032159"
"Peraquic"|"22224705"|"9032160"
"Peraquic"|"22224706"|"9032161"
"Peraquic"|"22224750"|"9032191"
"Peraquic"|"22224751"|"9032192"
"Aquic"|"22224724"|"9032174"
"Peraquic"|"22224725"|"9032175"
"Peraquic"|"22224726"|"9032176"
"Peraquic"|"22224727"|"9032177"
"Udic"|"22224729"|"9032178"
"Aquic"|"22224730"|"9032179"
"Udic"|"22224733"|"9032180"
"Udic"|"22224708"|"9032162"
"Udic"|"22224784"|"9032217"
